Date,Value
2023-11-24,$1.0946
2023-11-23,$1.0905
2023-11-22,$1.0887
2023-11-21,$1.0917
2023-11-20,$1.0945
2023-11-17,$1.0917
2023-11-16,$1.0856
2023-11-15,$1.0848
2023-11-14,$1.0882
2023-11-13,$1.0700
2023-11-10,$1.0698
2023-11-9,$1.0665
2023-11-8,$1.0709
2023-11-7,$1.0697
2023-11-6,$1.0722
2023-11-3,$1.0736
2023-11-2,$1.0622
2023-11-1,$1.0576
2023-10-31,$1.0577
2023-10-30,$1.0615
2023-10-27,$1.0570
2023-10-26,$1.0563
2023-10-25,$1.0567
2023-10-24,$1.0591
2023-10-23,$1.0672
2023-10-20,$1.0598
2023-10-19,$1.0583
2023-10-18,$1.0539
2023-10-17,$1.0577
2023-10-16,$1.0557
2023-10-13,$1.0513
2023-10-12,$1.0531
2023-10-11,$1.0622
2023-10-10,$1.0605
2023-10-9,$1.0571
2023-10-6,$1.0594
2023-10-5,$1.0548
2023-10-4,$1.0509
2023-10-3,$1.0467
2023-10-2,$1.0483
2023-9-29,$1.0580
2023-9-28,$1.0567
2023-9-27,$1.0505
2023-9-26,$1.0571
2023-9-25,$1.0595
2023-9-22,$1.0664
2023-9-21,$1.0663
2023-9-20,$1.0657
2023-9-19,$1.0682
2023-9-18,$1.0691
2023-9-15,$1.0671
2023-9-14,$1.0642
2023-9-13,$1.0734
2023-9-12,$1.0755
2023-9-11,$1.0750
2023-9-8,$1.0707
2023-9-7,$1.0698
2023-9-6,$1.0726
2023-9-5,$1.0728
2023-9-4,$1.0798
2023-9-1,$1.0788
2023-8-31,$1.0844
2023-8-30,$1.0925
2023-8-29,$1.0882
2023-8-28,$1.0824
2023-8-25,$1.0795
2023-8-24,$1.0811
2023-8-23,$1.0866
2023-8-22,$1.0846
2023-8-21,$1.0897
2023-8-18,$1.0890
2023-8-17,$1.0873
2023-8-16,$1.0882
2023-8-15,$1.0904
2023-8-14,$1.0907
2023-8-11,$1.0957
2023-8-10,$1.0984
2023-8-9,$1.0979
2023-8-8,$1.0955
2023-8-7,$1.1002
2023-8-4,$1.1026
2023-8-3,$1.0951
2023-8-2,$1.0944
2023-8-1,$1.1003
2023-7-31,$1.1002
2023-7-28,$1.1031
2023-7-27,$1.0982
2023-7-26,$1.1088
2023-7-25,$1.1053
2023-7-24,$1.1065
2023-7-21,$1.1133
2023-7-20,$1.1135
2023-7-19,$1.1201
2023-7-18,$1.1231
2023-7-17,$1.1239
2023-7-14,$1.1244
2023-7-13,$1.1226
2023-7-12,$1.1135
2023-7-11,$1.1010
2023-7-10,$1.1000
2023-7-7,$1.0969
2023-7-6,$1.0890
2023-7-5,$1.0857
2023-7-4,$1.0879
2023-7-3,$1.0914
2023-6-30,$1.0916
2023-6-29,$1.0867
2023-6-28,$1.0915
2023-6-27,$1.0961
2023-6-26,$1.0910
2023-6-23,$1.0916
2023-6-22,$1.0954
2023-6-21,$1.0989
2023-6-20,$1.0919
2023-6-19,$1.0925
2023-6-16,$1.0957
2023-6-15,$1.0946
2023-6-14,$1.0834
2023-6-13,$1.0789
2023-6-12,$1.0760
2023-6-9,$1.0749
2023-6-8,$1.0783
2023-6-7,$1.0702
2023-6-6,$1.0696
2023-6-5,$1.0711
2023-6-2,$1.0714
2023-6-1,$1.0764
2023-5-31,$1.0689
2023-5-30,$1.0731
2023-5-29,$1.0709
